"Occupancy Rate by Region (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2001M11",21.71,44.51,4021,54.82,65.93,12901,28.46,47.98,5981,30.95,56.03,5447,28.16,46.59,2603,25.73,38.55,4962,57.10,69.74,4925,32.90,57.37,3516,35.17,61.04,10129,42.01,50.21,2878,38.17,57.33,8038,39.99,55.83,2175,"..","..",40840,"..","..",26736,36.24,56.60,67576
"2001M12",29.06,47.94,4030,49.73,57.02,13237,32.88,45.96,6008,36.42,53.63,5450,32.97,47.02,2596,24.17,32.00,4979,48.04,56.73,4905,41.01,58.53,3554,34.54,52.95,10332,41.75,48.48,2930,41.97,55.44,8084,41.22,52.13,2243,"..","..",41205,"..","..",27143,37.79,51.77,68348
"2002M01",40.77,58.52,4016,58.03,64.11,13187,42.73,54.68,6011,51.47,65.35,5456,47.26,60.47,2566,30.35,38.46,4710,53.17,61.57,5012,56.64,74.71,3533,41.05,60.95,10401,53.10,59.48,2937,55.53,66.19,8079,49.60,61.91,2255,"..","..",40958,"..","..",27205,48.11,60.99,68163
"2002M02",30.75,57.91,4001,63.01,74.95,13149,36.70,58.71,6102,41.07,67.03,5517,42.12,65.32,2534,31.28,45.69,4697,63.90,76.33,5177,50.94,78.35,3580,43.55,72.07,10474,55.11,64.38,2936,52.12,74.74,8179,56.59,73.49,2272,"..","..",41177,"..","..",27441,46.61,68.83,68618
"2002M03",29.26,56.09,3999,62.04,73.50,13074,36.11,58.11,6123,40.38,67.90,5564,40.27,62.34,2535,32.81,47.20,4830,63.46,76.15,5122,44.06,70.24,3586,43.53,71.96,10530,51.66,60.90,2915,48.23,68.59,8143,53.96,70.87,2257,"..","..",41247,"..","..",27431,45.06,66.99,68678
"2002M04",21.58,44.51,4114,52.07,62.40,13060,29.24,49.44,6138,32.41,58.10,5563,30.55,49.09,2536,24.78,37.16,4807,51.29,62.58,5126,33.35,55.21,3576,37.82,54.95,10328,39.17,47.79,2915,39.27,56.71,8320,43.32,58.31,2233,"..","..",41344,"..","..",27372,36.47,54.64,68716
"2002M05",15.08,32.26,3894,47.51,57.33,13090,22.47,39.20,6095,25.97,47.54,5521,23.16,39.95,2504,22.49,34.96,4832,45.67,55.75,5216,22.41,36.92,3532,28.31,41.96,10325,24.65,31.08,2940,27.69,41.34,8047,27.67,39.56,2181,"..","..",41152,"..","..",27025,28.68,44.17,68177
"2002M06",12.50,27.68,3859,44.69,53.48,13043,22.78,41.14,6063,26.41,48.23,5450,21.73,38.41,2430,21.46,33.02,4963,44.52,55.09,5316,19.42,33.26,3406,25.28,37.81,10405,20.55,26.28,2911,25.31,38.14,7859,21.39,31.29,2109,"..","..",41124,"..","..",26690,26.74,41.52,67814
"2002M07",12.61,28.48,3898,46.41,55.63,13038,24.40,43.32,6063,28.06,50.83,5585,23.26,40.14,2509,25.61,38.39,5325,48.86,60.47,5306,19.02,33.64,3408,31.88,47.77,10441,23.71,30.71,2951,39.12,58.28,7988,22.52,32.65,2202,"..","..",41724,"..","..",26990,30.57,47.30,68714
"2002M08",12.73,29.37,3756,46.23,55.86,13128,22.33,38.71,6060,25.25,45.83,5588,21.32,37.20,2506,26.76,39.73,5300,44.11,54.42,5320,20.00,34.94,3375,30.22,45.18,10590,20.83,26.72,2948,41.73,62.33,8043,21.70,31.18,2208,"..","..",41658,"..","..",27164,29.83,46.10,68822
"2002M09",14.51,32.45,3923,48.38,58.26,13263,24.54,41.21,6068,27.00,48.46,5589,25.61,43.76,2509,28.75,41.89,5290,46.69,58.22,5279,24.73,44.01,3413,32.80,49.20,10579,26.62,31.67,2955,37.04,54.36,8068,25.33,36.28,2168,"..","..",41921,"..","..",27183,31.67,48.35,69104
"2002M10",19.13,38.24,4133,55.88,66.98,13256,28.12,46.17,6135,30.88,55.39,5603,27.78,47.45,2492,28.61,41.00,5331,51.55,63.93,5313,25.67,43.13,3615,38.04,57.54,10498,33.11,38.85,3040,33.03,48.93,8128,30.46,44.59,2197,"..","..",42263,"..","..",27478,35.00,52.91,69741
"2002M11",22.54,47.23,4101,64.68,77.65,13279,30.50,50.65,6202,33.76,59.32,5634,29.60,49.02,2536,27.52,40.37,4905,57.37,70.82,5356,33.79,57.54,3665,37.85,64.98,10649,43.78,53.08,3042,43.81,63.13,8113,43.91,61.86,2376,"..","..",42013,"..","..",27845,39.89,61.53,69858
"2002M12",29.64,50.65,4067,56.57,64.74,13257,34.93,47.62,6224,37.36,54.39,5697,36.75,49.09,2512,25.41,33.25,4906,48.26,56.91,5354,42.12,59.39,3763,36.58,57.10,10701,43.20,49.66,3036,45.39,57.61,8197,42.47,57.10,2317,"..","..",42017,"..","..",28014,40.26,55.00,70031
"2003M01",39.84,59.43,4113,60.80,67.67,13324,43.39,54.21,6281,49.82,64.62,5681,48.36,59.67,2536,32.01,38.59,4911,50.14,58.11,5331,57.18,72.10,3758,41.99,62.61,10835,55.10,61.00,3087,58.27,66.66,8236,49.03,63.59,2321,"..","..",42177,"..","..",28237,48.85,61.61,70414
"2003M02",31.40,59.89,4031,66.72,78.16,13391,39.69,58.61,6289,41.92,66.88,5682,40.54,61.26,2657,33.26,46.18,4972,63.36,77.99,5414,50.87,77.17,3783,45.92,72.68,10850,57.81,65.15,3097,57.26,75.01,8244,58.84,78.39,2323,"..","..",42436,"..","..",28297,48.78,69.75,70733
"2003M03",26.50,53.91,4010,62.77,73.70,13461,35.69,54.39,6294,36.24,60.88,5687,36.61,58.05,2680,33.43,47.44,5020,58.35,72.14,5401,43.51,68.78,3820,40.84,66.77,10849,53.53,61.68,3167,50.16,67.44,8255,52.31,69.53,2334,"..","..",42553,"..","..",28425,43.96,64.55,70978
"2003M04",25.24,50.44,3937,52.56,61.16,13310,33.07,50.62,6223,36.02,58.07,5730,34.89,53.53,2669,30.80,43.79,4865,50.49,62.81,5367,36.97,58.84,3793,40.33,57.19,10631,44.21,51.29,3098,43.92,59.86,8215,41.12,55.62,2343,"..","..",42101,"..","..",28080,39.56,56.50,70181
"2003M05",16.73,36.05,3889,46.83,55.52,13208,24.30,39.81,6191,24.67,42.84,5767,25.14,41.21,2690,24.42,36.05,4967,47.22,59.44,5412,23.80,39.08,3685,28.42,41.37,10709,25.78,31.62,3126,28.54,40.35,8040,26.51,37.23,2275,"..","..",42124,"..","..",27835,29.43,43.94,69959
"2003M06",13.67,29.45,3810,42.86,50.97,13166,22.88,38.98,6063,24.35,43.36,5718,22.69,37.93,2721,21.60,33.53,4815,46.33,58.13,5381,20.83,34.57,3553,24.79,37.07,10772,20.85,26.11,3009,25.22,36.17,8089,19.20,28.56,2228,"..","..",41674,"..","..",27651,26.59,40.42,69325
"2003M07",14.29,31.47,3620,47.40,56.03,13036,25.13,42.80,6148,29.09,51.00,5808,25.20,42.00,2694,27.96,40.62,5438,46.36,58.50,5429,21.46,36.54,3533,29.18,43.30,10967,23.40,29.61,3029,41.48,61.64,8214,22.72,33.22,2256,"..","..",42173,"..","..",27999,31.34,47.46,70172
"2003M08",14.18,31.00,3841,48.44,57.44,13095,22.26,38.23,6061,24.98,43.63,5815,22.94,38.86,2651,26.81,38.96,5479,42.84,54.52,5423,20.76,34.81,3595,28.42,42.60,10910,21.11,26.91,3023,40.06,59.19,8256,21.05,30.61,2264,"..","..",42365,"..","..",28048,29.89,45.42,70413
"2003M09",16.78,35.82,3886,49.34,59.43,13095,25.42,42.28,6192,29.08,50.16,5851,26.71,44.33,2642,30.75,44.15,5295,49.50,62.31,5487,22.41,40.97,3607,32.95,48.83,10967,26.37,31.26,3162,38.62,55.99,8272,26.49,37.20,2294,"..","..",42448,"..","..",28302,32.75,49.41,70750
"2003M10",20.31,41.87,3903,52.77,62.57,13144,28.15,44.96,6295,32.29,56.00,6002,29.95,48.08,2744,29.00,42.04,5114,48.94,61.82,5479,24.86,43.20,3817,38.71,56.31,11005,33.56,39.60,3153,35.01,50.26,8310,32.70,44.62,2302,"..","..",42681,"..","..",28587,35.17,52.20,71268
"2003M11",24.21,50.51,3907,63.74,75.86,13117,32.62,52.38,6302,34.97,60.81,5991,32.16,50.76,2759,27.65,40.46,4712,56.17,70.35,5506,31.81,55.25,3870,37.60,63.67,10964,44.58,52.84,3175,41.32,61.85,8260,47.22,62.24,2407,"..","..",42294,"..","..",28676,40.02,61.23,70970
"2003M12",32.94,52.98,3896,56.78,64.06,13251,37.17,48.43,6290,39.00,57.14,6040,40.65,52.35,2750,27.49,34.84,4905,46.92,56.41,5537,41.05,58.37,4017,38.11,58.64,11048,48.11,54.22,3175,48.18,63.82,8309,48.95,61.20,2425,"..","..",42669,"..","..",28974,42.14,56.74,71643
"2004M01",42.56,64.52,3918,61.24,66.92,13294,46.34,56.46,6284,51.17,68.93,5912,56.19,65.64,2788,35.72,39.32,4903,50.42,58.96,5858,52.98,67.51,4022,44.04,65.33,11036,59.93,64.38,3248,56.16,67.20,8362,54.32,66.00,2439,"..","..",42957,"..","..",29107,50.44,63.14,72064
"2004M02",32.53,60.77,3923,65.34,74.94,13451,40.21,58.73,6341,43.93,69.44,5960,45.90,65.45,2797,35.23,47.49,4857,59.69,72.91,5885,45.98,70.28,4058,46.30,73.94,11075,62.92,70.66,3313,53.28,75.51,8398,61.20,77.71,2442,"..","..",43214,"..","..",29286,48.86,69.48,72500
"2004M03",28.51,57.73,3932,64.63,74.74,13577,37.72,57.01,6509,38.86,63.25,5906,42.49,64.01,2822,35.71,48.88,4868,59.53,73.58,5899,41.08,67.05,4083,42.60,69.59,11144,55.06,62.50,3313,46.33,67.23,8399,54.50,68.74,2444,"..","..",43513,"..","..",29383,45.29,66.23,72896
"2004M04",25.14,49.45,3936,55.33,64.26,13544,33.95,49.90,6527,37.71,61.50,5921,35.18,54.90,2815,30.75,42.41,4908,50.46,62.61,5926,33.11,55.92,4085,36.58,60.28,11177,45.82,52.36,3376,43.53,62.67,8466,42.46,55.67,2444,"..","..",43577,"..","..",29548,39.51,57.90,73125
"2004M05",16.83,35.98,3957,49.05,57.54,13919,23.08,35.48,6557,26.78,46.76,5883,26.08,44.46,2800,25.28,36.32,4920,44.05,55.09,5941,21.14,36.56,4007,31.76,46.63,11112,25.32,30.21,3347,28.49,43.43,8456,25.08,34.94,2246,"..","..",43977,"..","..",29168,30.08,45.02,73145
"2004M06",15.87,33.19,3916,46.72,55.17,13923,25.79,40.55,6584,26.46,45.61,5844,24.08,41.70,2748,25.78,37.53,5113,44.51,55.09,5947,19.25,34.50,3886,28.34,41.89,11077,19.56,23.74,3242,29.63,44.15,8389,19.34,26.81,2263,"..","..",44075,"..","..",28857,29.04,43.49,72932
"2004M07",16.47,34.48,3807,47.58,56.61,13979,26.34,41.37,6524,29.88,53.01,5880,24.51,42.46,2751,34.71,47.63,5368,47.36,59.24,5892,19.90,37.48,3673,32.25,48.38,11146,23.71,28.39,3121,39.99,60.13,8399,20.97,29.37,2281,"..","..",44201,"..","..",28620,32.53,48.93,72821
"2004M08",14.42,30.45,3896,46.47,55.26,14051,23.78,37.50,6704,28.39,49.47,5978,22.51,38.68,2805,30.66,42.71,5487,41.27,51.63,5990,18.81,35.02,3756,30.70,45.38,11272,21.68,25.41,3211,41.54,61.76,8559,20.73,29.24,2313,"..","..",44911,"..","..",29111,30.81,46.14,74022
"2004M09",16.98,35.74,3915,47.86,56.38,14030,27.02,41.08,6685,31.11,53.79,6057,25.87,43.50,2806,33.40,46.68,5494,47.60,59.22,6012,21.66,40.03,3826,30.09,50.73,11372,30.58,34.09,3320,40.72,58.75,8594,25.02,32.76,2372,"..","..",44999,"..","..",29484,32.91,49.56,74483
"2004M10",20.21,40.37,4032,53.81,63.76,14109,29.40,43.66,6775,33.31,56.99,6111,28.30,46.12,2864,30.38,41.30,5361,44.89,55.87,6136,22.54,40.50,3979,32.39,53.62,11557,35.14,40.21,3453,34.77,50.28,8763,30.40,40.10,2358,"..","..",45388,"..","..",30110,34.25,51.10,75498
"2004M11",25.07,49.56,4111,59.28,69.63,14264,33.11,48.82,6890,36.92,62.77,6133,34.53,52.87,2899,32.89,45.50,5094,55.16,68.16,6207,32.27,56.44,4116,39.62,64.70,11738,48.41,54.13,3466,43.25,61.39,9110,46.92,58.72,2562,"..","..",45598,"..","..",30992,41.04,60.26,76590
"2004M12",30.14,49.21,4148,52.78,59.76,14181,37.49,45.92,7065,39.63,56.98,6164,37.71,53.74,2896,29.06,37.09,4949,46.43,54.44,6268,38.90,56.36,4176,38.01,58.07,11622,46.25,49.90,3498,45.15,58.81,9155,47.15,54.74,2644,"..","..",45671,"..","..",31095,40.84,54.39,76766
"2005M01",41.90,63.23,4156,59.45,65.32,14238,47.10,54.11,7104,56.35,68.41,6145,52.46,66.41,2942,36.24,42.44,4915,49.56,57.10,6295,56.19,73.12,4204,44.74,64.65,11678,56.18,59.21,3571,57.71,67.37,9227,53.21,62.60,2646,"..","..",45795,"..","..",31326,50.91,62.53,77121
"2005M02",32.12,62.09,4134,65.84,76.40,14288,41.14,57.78,7107,44.22,69.22,6099,43.13,65.51,2984,38.21,52.32,5054,62.30,75.66,6294,48.22,73.47,4312,47.00,73.87,11750,59.90,64.66,3635,55.52,74.99,9265,61.73,75.86,2672,"..","..",45960,"..","..",31634,49.74,70.04,77594
"2005M03",30.85,57.40,4133,62.73,71.31,14290,40.22,55.89,7140,40.54,63.47,6256,41.83,62.97,3059,35.97,47.76,5115,60.62,73.04,6445,42.46,67.51,4331,43.79,67.33,11859,54.73,58.89,3666,49.89,66.50,9433,53.84,66.35,2631,"..","..",46438,"..","..",31920,46.42,64.69,78358
"2005M04",23.98,44.66,4178,54.92,62.75,14428,33.53,48.82,7155,34.50,57.01,6238,34.50,52.98,3075,29.97,41.19,5155,54.48,65.19,6446,30.32,50.62,4296,35.89,57.01,11891,39.51,43.34,3665,39.70,56.00,9421,38.85,48.51,2634,"..","..",46675,"..","..",31907,38.13,54.74,78582
"2005M05",16.80,34.44,4126,45.14,52.78,14934,23.23,36.15,7132,26.61,46.83,6202,24.45,39.34,3075,23.92,34.33,5212,45.28,54.97,6518,19.99,36.25,4189,29.40,41.82,11851,25.05,29.20,3610,28.40,40.88,9538,22.03,30.51,2438,"..","..",47199,"..","..",31626,29.02,42.55,78825
"2005M06",15.07,28.60,4137,44.44,52.18,14922,24.82,39.02,7115,27.71,48.53,6264,23.88,38.93,3107,27.52,38.22,5210,45.62,55.28,6617,19.73,36.61,4083,31.79,45.67,11774,22.35,26.89,3598,29.26,41.75,9602,18.77,26.99,2395,"..","..",47372,"..","..",31452,29.56,43.31,78824
"2005M07",15.86,30.86,4052,47.69,55.83,14932,26.01,39.99,7138,29.69,49.66,6252,24.34,39.07,3013,29.46,40.94,5652,46.26,55.07,7051,18.34,34.10,4037,30.30,43.28,11871,21.98,26.61,3583,40.04,57.75,9668,18.61,27.10,2409,"..","..",48090,"..","..",31568,31.64,45.98,79658
"2005M08",14.88,30.16,4056,43.45,50.93,14761,22.69,34.84,7132,24.96,41.95,6276,23.58,37.70,3085,31.95,44.92,5729,41.01,49.00,7050,18.33,34.21,4087,28.46,40.35,12162,20.98,25.32,3494,40.26,57.54,9732,19.99,28.93,2411,"..","..",48089,"..","..",31886,29.69,43.19,79975
"2005M09",17.70,34.14,4117,47.07,54.44,14876,26.25,39.23,7161,27.41,45.79,6284,26.90,42.09,3091,32.76,45.96,5744,46.27,55.52,7045,19.41,35.17,4158,31.56,44.10,12375,25.19,29.46,3487,38.52,53.03,9890,22.94,31.27,2391,"..","..",48318,"..","..",32301,32.12,45.87,80619
"2005M10",19.71,38.73,4111,48.91,56.31,14902,28.56,41.84,7200,31.41,53.61,6298,30.82,47.64,3111,31.08,42.46,5544,46.28,55.36,7082,23.46,40.19,4386,31.37,49.86,12480,34.18,37.38,3684,33.44,45.22,10099,29.04,37.67,2480,"..","..",48248,"..","..",33129,33.27,47.92,81377
"2005M11",24.31,48.44,4110,56.29,65.32,14955,32.06,47.70,7184,35.57,60.30,6272,31.47,48.30,3150,31.16,42.45,5375,52.23,62.77,7105,30.74,51.01,4490,36.80,57.96,12433,45.71,50.98,3725,42.36,57.88,10131,41.48,53.93,2736,"..","..",48151,"..","..",33515,39.09,56.28,81666
"2005M12",29.08,48.69,4045,49.98,56.24,15241,33.99,44.67,7213,38.13,55.47,6259,36.49,48.38,3164,30.68,36.43,5329,43.52,51.13,7117,35.49,52.20,4542,35.05,51.19,12543,43.71,47.44,3714,44.88,58.48,9751,37.37,46.19,2788,"..","..",48368,"..","..",33338,38.76,51.27,81706
"2006M01",42.58,62.40,4028,53.60,58.02,15219,44.23,53.73,7218,49.88,63.45,6448,51.93,60.49,3196,37.94,41.51,5251,46.85,53.12,7120,55.50,68.99,4599,43.36,60.02,12457,55.96,59.47,3720,56.82,66.79,9751,48.27,59.64,2806,"..","..",48480,"..","..",33333,48.75,58.98,81813
"2006M02",33.83,63.86,4069,61.68,70.19,15163,40.99,56.82,7163,44.75,69.76,6183,44.25,65.64,3216,36.00,47.08,5460,59.39,71.23,7196,47.26,72.02,4623,45.99,69.47,12561,60.12,65.30,3718,55.63,77.18,9791,51.80,69.09,2822,"..","..",48450,"..","..",33515,48.71,67.62,81965
"2006M03",28.92,56.00,4103,59.27,67.96,15190,40.30,56.36,7279,38.15,62.62,6193,41.79,64.42,3206,34.17,46.88,5451,57.50,68.75,7196,38.43,63.17,4531,40.72,63.14,12594,51.93,57.64,3751,48.21,66.51,9874,44.91,58.79,2837,"..","..",48618,"..","..",33587,44.09,62.50,82205
"2006M04",26.43,48.43,4162,49.35,56.18,15295,34.88,47.18,7305,34.54,56.68,6212,34.05,50.76,3177,28.87,39.82,5341,49.01,59.39,7195,30.20,50.57,4517,35.17,53.27,12539,41.04,45.55,3699,43.57,59.61,9897,35.86,46.25,2837,"..","..",48687,"..","..",33489,37.73,52.87,82176
"2006M05",16.04,34.19,4094,45.17,51.05,15535,24.45,34.62,7280,26.72,45.56,6171,23.75,38.29,3150,24.63,35.68,5450,43.73,53.21,7201,18.93,34.03,4430,29.01,39.93,12521,24.75,28.91,3629,30.31,43.30,9897,22.35,31.79,2420,"..","..",48881,"..","..",32897,29.15,41.89,81778
"2006M06",15.24,29.91,4004,44.29,50.70,14957,26.23,37.22,7267,26.33,44.73,6185,23.86,39.28,3136,23.73,34.55,5695,42.49,51.55,7160,17.06,32.59,4192,25.49,36.36,12499,19.79,23.80,3652,28.23,40.91,9715,16.29,25.20,2354,"..","..",48404,"..","..",32412,27.63,40.20,80816
"2006M07",16.08,32.05,4032,43.67,49.05,14960,27.10,38.00,7172,27.47,46.49,6208,22.95,37.58,3156,32.17,45.52,5756,47.12,57.17,7167,17.74,33.60,4152,29.46,41.59,12398,22.20,26.38,3591,38.73,55.58,9783,17.15,26.43,2354,"..","..",48451,"..","..",32278,30.67,44.23,80729
"2006M08",14.94,30.30,4037,47.00,53.45,14906,24.72,35.10,7205,27.54,45.70,6277,25.08,39.78,3132,31.46,44.04,5864,42.99,52.04,7147,17.33,32.80,4198,27.61,39.41,12569,21.26,25.18,3566,42.09,60.75,9770,18.10,28.01,2336,"..","..",48568,"..","..",32439,30.68,44.38,81007
"2006M09",17.43,35.03,4093,48.94,55.45,15160,28.35,39.18,7246,30.15,49.20,6293,26.35,42.39,3151,35.01,48.63,5840,47.41,57.24,7210,19.21,34.11,4271,32.37,44.99,12679,26.06,29.19,3580,37.34,51.27,9927,21.38,30.39,2430,"..","..",48993,"..","..",32887,32.93,46.55,81880
"2006M10",22.87,44.25,4165,53.01,59.33,15588,30.42,40.87,7218,34.30,55.39,6314,31.50,48.48,3188,29.75,40.75,5776,50.00,59.59,7166,23.39,39.66,4476,31.50,49.16,12911,32.84,37.61,3659,34.41,46.86,10125,27.98,38.79,2475,"..","..",49415,"..","..",33646,34.77,49.25,83061
"2006M11",26.68,50.94,4182,60.19,67.72,15502,37.40,51.32,7266,37.14,61.05,6290,34.22,52.64,3228,29.33,41.16,5577,56.07,66.30,7229,30.95,53.26,4500,38.38,59.56,12801,44.53,50.20,3661,43.55,59.77,10068,39.08,51.16,2865,"..","..",49274,"..","..",33895,40.99,58.11,83169
"2006M12",29.39,48.18,4209,51.89,56.96,15528,38.20,47.23,7202,40.28,56.55,6348,39.75,51.05,3260,28.06,35.13,5401,46.52,53.20,7233,39.22,55.63,4535,36.45,52.31,12899,43.68,46.37,3678,45.37,56.81,10127,37.99,46.91,2866,"..","..",49181,"..","..",34105,40.36,52.05,83286
"2007M01",46.59,63.98,4247,58.94,62.47,15520,50.21,57.03,7206,53.40,64.65,6387,54.80,65.15,3261,37.07,42.95,5365,51.91,58.41,7250,55.89,69.45,4596,43.34,59.19,12881,54.65,58.95,3717,58.21,66.97,10153,47.01,56.94,2869,"..","..",49236,"..","..",34216,51.15,60.82,83452
"2007M02",38.11,65.59,4275,65.21,71.58,15650,46.58,58.55,7235,45.40,67.35,6433,44.72,65.82,3285,40.26,52.22,5484,65.90,75.65,7264,48.82,74.12,4597,47.46,70.48,12890,60.61,67.35,3750,57.63,75.08,10174,54.97,68.97,2869,"..","..",49626,"..","..",34280,51.56,68.81,83906
"2007M03",31.78,58.48,4315,64.90,72.05,15876,42.67,57.23,7284,41.28,64.73,6442,42.07,64.85,3285,37.08,49.57,5492,60.32,69.78,7551,40.10,64.43,4589,41.69,62.91,12903,52.02,57.97,3738,52.04,69.43,10147,49.64,62.22,2871,"..","..",50245,"..","..",34248,46.89,64.50,84493
"2007M04",25.35,45.54,4331,52.16,57.35,15954,35.85,46.95,7280,37.10,56.89,6550,34.23,49.83,3310,29.63,40.03,5454,49.46,57.51,7590,30.71,49.87,4624,35.05,52.51,12900,40.45,46.18,3742,44.50,58.75,10075,35.39,44.50,2870,"..","..",50469,"..","..",34211,38.54,52.51,84680
"2007M05",19.28,35.25,4094,47.13,52.68,15881,26.73,37.50,7284,29.20,47.15,6550,25.76,39.87,3311,25.12,36.22,5426,43.49,51.40,7579,21.27,35.79,4457,29.96,41.30,12980,25.10,29.23,3730,30.99,42.38,9941,23.36,32.36,2619,"..","..",50125,"..","..",33727,30.79,42.83,83852
"2007M06",16.22,30.49,4063,47.48,53.48,15678,25.68,36.75,7088,25.97,41.89,6526,24.34,38.97,3205,23.56,33.80,5676,41.55,49.63,7581,18.75,33.41,4264,28.03,38.94,13009,20.60,25.06,3689,28.82,41.10,9853,17.20,25.06,2629,"..","..",49817,"..","..",33444,28.78,40.85,83261
"2007M07",16.32,31.65,4056,47.66,52.81,15859,27.28,39.19,7231,28.89,46.24,6582,24.74,38.74,3192,28.39,40.26,5817,39.58,46.78,7597,18.00,32.36,4285,31.88,44.17,13223,22.35,27.09,3595,42.85,62.03,9794,17.38,25.25,2584,"..","..",50334,"..","..",33481,31.72,44.86,83815
"2007M08",15.18,28.97,4196,49.10,54.48,16008,26.13,37.07,7115,24.85,39.58,6883,23.63,38.32,3211,31.45,43.96,5822,40.97,48.83,7613,18.60,33.11,4345,30.57,42.35,13273,21.31,25.84,3629,43.04,61.97,9805,17.94,26.25,2548,"..","..",50848,"..","..",33600,31.44,44.47,84448
"2007M09",18.83,33.65,4187,49.94,55.41,15822,29.75,41.81,7196,31.35,48.96,6900,26.08,41.50,3243,32.35,44.41,5871,46.37,55.25,7549,19.36,34.26,4369,32.81,44.64,13343,25.85,28.98,3712,37.76,52.18,9808,21.62,29.05,2633,"..","..",50768,"..","..",33865,33.36,46.19,84633
"2007M10",22.26,40.92,4180,51.50,57.18,15910,30.05,41.13,7206,32.44,51.45,6824,31.15,47.43,3281,27.40,36.80,5910,45.54,53.41,7605,22.17,38.03,4622,31.53,48.99,13356,32.20,36.72,3763,34.24,47.30,10052,26.06,34.56,2702,"..","..",50916,"..","..",34495,33.69,47.36,85411
